driver_id,driver_age,driver_rating,vehicle_condition,vehicle_type
INDORES13DEL02 ,37,4.9,2,motorcycle 
BANGRES18DEL02 ,34,4.5,2,scooter 
BANGRES19DEL01 ,23,4.4,0,motorcycle 
COIMBRES13DEL02 ,38,4.7,0,motorcycle 
CHENRES12DEL01 ,32,4.6,1,scooter 
HYDRES09DEL03 ,22,4.8,0,motorcycle 
RANCHIRES15DEL01 ,33,4.7,1,scooter 
MYSRES15DEL02 ,35,4.6,2,motorcycle 
HYDRES05DEL02 ,22,4.8,0,motorcycle 
DEHRES17DEL01 ,36,4.2,2,motorcycle 
KOCRES16DEL01 ,21,4.7,1,motorcycle 
PUNERES13DEL03 ,23,4.7,1,scooter 
LUDHRES15DEL02 ,34,4.3,0,motorcycle 
KNPRES14DEL02 ,24,4.7,1,scooter 
MUMRES15DEL03 ,29,4.5,2,electric_scooter 
MYSRES01DEL01 ,35,4,1,scooter 
PUNERES20DEL01 ,33,4.2,2,motorcycle 
HYDRES14DEL01 ,34,4.9,0,motorcycle 
KOLRES15DEL03 ,21,4.7,0,motorcycle 
PUNERES19DEL02 ,25,4.1,0,motorcycle 
RANCHIRES06DEL02 ,31,4.7,2,electric_scooter 
COIMBRES13DEL01 ,37,5,1,motorcycle 
CHENRES19DEL02 ,33,4.3,2,scooter 
MUMRES02DEL01 ,25,4,1,motorcycle 
CHENRES01DEL01 ,29,4.5,2,electric_scooter 
JAPRES16DEL03 ,27,5,0,motorcycle 
SURRES15DEL03 ,35,4.3,1,scooter 
BANGRES09DEL03 ,32,4,0,motorcycle 
PUNERES04DEL01 ,23,4.8,2,electric_scooter 
COIMBRES02DEL03 ,31,4.8,2,motorcycle 
SURRES16DEL02 ,36,4.1,0,motorcycle 
GOARES15DEL02 ,26,4.3,0,motorcycle 
GOARES07DEL01 ,38,4.9,1,scooter 
RANCHIRES02DEL01 ,32,3.5,1,scooter 
PUNERES19DEL02 ,32,4.6,2,scooter 
PUNERES02DEL01 ,33,4.9,1,motorcycle 
PUNERES18DEL01 ,20,4.7,1,scooter 
SURRES08DEL01 ,20,4.8,2,scooter 
HYDRES17DEL02 ,35,5,2,scooter 
BANGRES17DEL02 ,26,4.9,2,scooter 
BANGRES17DEL01 ,22,4.8,1,motorcycle 
CHENRES11DEL01 ,35,4.3,1,motorcycle 
MUMRES17DEL02 ,NaN ,NaN ,1,scooter 
SURRES17DEL03 ,37,4.7,0,motorcycle 
MUMRES07DEL01 ,28,4.6,1,scooter 
KOLRES16DEL02 ,37,4.9,1,scooter 
MUMRES02DEL03 ,23,4.9,2,electric_scooter 
BANGRES05DEL03 ,27,4.9,1,scooter 
CHENRES11DEL01 ,37,4.8,0,motorcycle 
SURRES09DEL01 ,33,5,2,scooter 
RANCHIRES15DEL01 ,31,4.9,1,motorcycle 
BANGRES19DEL01 ,31,4.8,2,scooter 
AURGRES20DEL03 ,25,5,0,motorcycle 
COIMBRES14DEL02 ,28,4.8,0,motorcycle 
SURRES08DEL03 ,31,4.7,2,motorcycle 
COIMBRES07DEL03 ,24,4.7,0,motorcycle 
AGRRES12DEL03 ,39,4.6,1,motorcycle 
VADRES02DEL02 ,39,4.2,2,scooter 
JAPRES14DEL01 ,32,4.5,2,scooter 
VADRES04DEL03 ,36,4.7,1,motorcycle 
JAPRES18DEL02 ,25,4.8,1,scooter 
MYSRES04DEL03 ,33,4.9,2,scooter 
SURRES12DEL01 ,30,4.4,2,scooter 
MUMRES04DEL01 ,33,5,0,motorcycle 
PUNERES02DEL01 ,36,4.9,2,scooter 
ALHRES07DEL02 ,21,4.8,2,electric_scooter 
DEHRES19DEL02 ,39,4.9,2,motorcycle 
VADRES16DEL02 ,23,4.8,1,scooter 
VADRES09DEL01 ,35,4.8,2,scooter 
CHENRES12DEL03 ,39,4.6,1,scooter 
SURRES11DEL01 ,22,4.7,1,scooter 
SURRES01DEL01 ,32,4.6,1,scooter 
VADRES15DEL02 ,24,4.8,1,motorcycle 
MYSRES14DEL02 ,29,4.7,0,motorcycle 
BANGRES13DEL01 ,NaN ,NaN ,1,scooter 
HYDRES13DEL03 ,26,4.7,1,motorcycle 
BHPRES12DEL02 ,20,4.5,1,motorcycle 
CHENRES11DEL03 ,35,4.1,1,motorcycle 
BANGRES010DEL03 ,39,4.6,1,scooter 
VADRES20DEL01 ,34,4.7,2,electric_scooter 
BANGRES11DEL01 ,27,4.7,2,scooter 
DEHRES01DEL01 ,30,4.8,1,motorcycle 
CHENRES02DEL01 ,25,4.4,2,scooter 
MUMRES04DEL01 ,25,4.7,0,motorcycle 
JAPRES03DEL02 ,30,5,1,motorcycle 
HYDRES04DEL03 ,24,4.6,1,motorcycle 
PUNERES14DEL02 ,39,4.8,1,motorcycle 
GOARES04DEL01 ,25,4.8,1,scooter 
AURGRES08DEL02 ,37,4.6,0,motorcycle 
BANGRES12DEL01 ,24,5,0,motorcycle 
HYDRES05DEL01 ,25,4.2,0,motorcycle 
RANCHIRES17DEL01 ,32,4.6,2,motorcycle 
AGRRES010DEL01 ,34,4.7,1,scooter 
INDORES12DEL02 ,38,4.9,2,scooter 
JAPRES15DEL03 ,36,4.8,2,electric_scooter 
