order_id,restaurant_latitude,restaurant_longitude,delivery_latitude,delivery_longitude,weather,traffic_density
0x4607 ,22.745049,75.892471,22.765049,75.912471,conditions Sunny,High 
0xb379 ,12.913041,77.683237,13.043041,77.813237,conditions Stormy,Jam 
0x5d6d ,12.914264,77.6784,12.924264,77.6884,conditions Sandstorms,Low 
0x7a6a ,11.003669,76.976494,11.053669,77.026494,conditions Sunny,Medium 
0x70a2 ,12.972793,80.249982,13.012793,80.289982,conditions Cloudy,High 
0x9bb4 ,17.431668,78.408321,17.461668,78.438321,conditions Cloudy,Jam 
0x95b4 ,23.369746,85.33982,23.479746,85.44982,conditions Fog,Jam 
0x9eb2 ,12.352058,76.60665,12.482058,76.73665,conditions Cloudy,Medium 
0x1102 ,17.433809,78.386744,17.563809,78.516744,conditions Stormy,Jam 
0xcdcd ,30.327968,78.046106,30.397968,78.116106,conditions Fog,Jam 
0xd987 ,10.003064,76.307589,10.043064,76.347589,conditions Stormy,High 
0x2784 ,18.56245,73.916619,18.65245,74.006619,conditions Sandstorms,Medium 
0xc8b6 ,30.899584,75.809346,30.919584,75.829346,conditions Sandstorms,Low 
0xdb64 ,26.463504,80.372929,26.593504,80.502929,conditions Fog,Jam 
0x3af3 ,19.176269,72.836721,19.266269,72.926721,conditions Sandstorms,Jam 
0x3aab ,12.311072,76.654878,12.351072,76.694878,conditions Windy,High 
0x689b ,18.592718,73.773572,18.702718,73.883572,conditions Sandstorms,Jam 
0x6f67 ,17.426228,78.407495,17.496228,78.477495,conditions Cloudy,Jam 
0xc9cf ,22.552672,88.352885,22.582672,88.382885,conditions Windy,Jam 
0x36b8 ,18.563934,73.915367,18.643935,73.995367,conditions Sandstorms,Jam 
0x5795 ,23.357804,85.325146,23.487804,85.455146,conditions Sandstorms,Low 
0x6c6b ,11.003669,76.976494,11.013669,76.986494,conditions Sandstorms,Low 
0xb816 ,12.986047,80.218114,13.116047,80.348114,conditions Windy,Jam 
0x539b ,19.221315,72.862381,19.261315,72.902381,conditions Cloudy,High 
0xa1b2 ,13.005801,80.250744,13.115801,80.360744,conditions Sunny,Medium 
0x3231 ,26.849596,75.800512,26.879596,75.830512,conditions Stormy,Jam 
0x8bc0 ,21.160522,72.771477,21.250522,72.861477,conditions Cloudy,Low 
0x2288 ,12.934179,77.615797,13.024179,77.705797,conditions Windy,Jam 
0x3c5e ,18.51421,73.838429,18.62421,73.948429,conditions Windy,Low 
0x3e60 ,11.022477,76.995667,11.052477,77.025667,conditions Sandstorms,Low 
0xbff ,21.160437,72.774209,21.210437,72.824209,conditions Stormy,Low 
0xd936 ,15.51315,73.78346,15.56315,73.83346,conditions Sandstorms,Low 
0xd681 ,15.561295,73.749478,15.601295,73.789478,conditions Cloudy,High 
0x2876 ,0.0,0.0,0.11,0.11,conditions Stormy,Jam 
0x30c8 ,18.563934,73.915367,18.693935,74.045367,conditions Cloudy,Low 
0xb843 ,18.55144,73.804855,18.62144,73.874855,conditions Sunny,Medium 
0xb3a0 ,18.593481,73.785901,18.633481,73.825901,conditions Windy,High 
0x6531 ,21.173343,72.792731,21.183343,72.802731,conditions Sandstorms,Low 
0x4bda ,17.451976,78.385883,17.471976,78.405883,conditions Sunny,Low 
0x9d26 ,12.972532,77.608179,12.992532,77.628179,conditions Stormy,Low 
0x9b18 ,12.972532,77.608179,13.042532,77.678179,conditions Fog,Low 
0x5d99 ,13.064181,80.236442,13.134181,80.306442,conditions Cloudy,Medium 
0x4f0 ,19.121999,72.908493,19.201999,72.988493,conditions Cloudy,Medium 
0xb796 ,21.149569,72.772697,21.239569,72.862697,conditions Sandstorms,Jam 
0x85b4 ,19.091458,72.827808,19.201458,72.937808,conditions Stormy,Jam 
0xc644 ,22.539129,88.365507,22.559129,88.385507,conditions Fog,Low 
0x6999 ,19.221315,72.862381,19.281315,72.922381,conditions Sunny,Jam 
0x63b6 ,12.970324,77.645748,13.030324,77.705748,conditions Windy,Medium 
0xa30b ,13.064181,80.236442,13.104181,80.276442,conditions Cloudy,Medium 
0x3556 ,21.175975,72.795503,21.185975,72.805503,conditions Sunny,High 
0x5554 ,23.369746,85.33982,23.409746,85.37982,conditions Fog,Medium 
0x25fd ,12.914264,77.6784,13.024264,77.7884,conditions Stormy,Low 
0xc1ff ,0.0,0.0,0.03,0.03,conditions Cloudy,Low 
0x7ac8 ,11.003681,76.975525,11.083681,77.055525,conditions Sandstorms,Jam 
0x3da1 ,21.173343,72.792731,21.233343,72.852731,conditions Cloudy,Low 
0x272d ,10.96185,76.971082,11.05185,77.061082,conditions Sunny,Medium 
0xddc5 ,27.165108,78.015053,27.255108,78.105053,conditions Sunny,Low 
0x8e6c ,0.0,0.0,0.08,0.08,conditions Fog,Jam 
0xb002 ,26.88842,75.800689,26.89842,75.810689,conditions Windy,Low 
0x395b ,0.0,0.0,0.06,0.06,conditions Cloudy,Jam 
0x8aa2 ,26.913987,75.752891,26.993987,75.832891,conditions Sandstorms,Low 
0xb55a ,12.3085,76.665808,12.3385,76.695808,conditions Sunny,Jam 
0x73cc ,21.183434,72.814492,21.253434,72.884492,conditions Cloudy,Low 
0xbe80 ,19.254567,72.848923,19.364567,72.958923,conditions Sandstorms,Low 
0x1609 ,18.55144,73.804855,18.59144,73.844855,conditions Fog,Medium 
0xd255 ,25.449659,81.839744,25.469659,81.859744,conditions Sandstorms,Low 
0xde72 ,30.372202,78.077151,30.422202,78.127151,conditions Stormy,Jam 
